AMC_ID,AMC_LongName,AMC_Name,country_id,isactive,entered_user,entered_date,modified_user,modified_date
30,"PPFAS Asset Management Private Limited","PPFAS Asset Management Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
32,"Quantum Asset Management Company Private Limited","Quantum Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
33,"Nippon Life India Asset Management Limited","Nippon Life India Asset Management Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
35,"SBI Funds Management Limited","SBI Funds Management Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
36,"Shriram Asset Management Company Limited","Shriram Asset Management Company Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
37,"Sundaram Asset Management Company Limited","Sundaram Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
38,"Tata Asset Management Private Limited","Tata Asset Management Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
39,"Taurus Asset Management Company Limited","Taurus Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
40,"Union Asset Management Company Private Limited","Union Asset Management Company Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
41,"UTI Asset Management Company Limited","UTI Asset Management Company Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
42,"WhiteOak Capital Asset Management Limited","WhiteOak Capital Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-29 09:32:53"
43,"ITI Asset Management Limited","ITI Asset Management Limited",1,1,NULL,NULL,NULL,"2022-03-31 17:50:41"
44,"Navi Asset Management Company Limited","Navi Asset Management Company Limited",1,1,NULL,"2022-03-29 09:34:55",Mukesh.Kotian@cogencis.com,"2024-10-15 18:39:02"
45,"NJ Asset Management Private Limited","NJ Asset Management Private Limited",1,1,NULL,"2022-03-29 09:35:13",NULL,"2022-03-31 17:50:41"
46,"Samco Asset Management Private Limited","Samco Asset Management Private Limited",1,1,NULL,"2022-03-29 09:35:23",NULL,"2022-03-31 17:49:54"
47,"Trust Asset Management Private Limited","Trust Asset Management Private Limited",1,1,NULL,"2022-03-29 09:35:33",NULL,"2022-03-31 17:49:54"
48,"Baroda BNP Paribas Asset Management India Private Limited","Baroda BNP Paribas Asset Management India  Private Limited",1,1,admin,"2022-05-25 09:48:29",Mukesh.Kotian@cogencis.com,"2023-02-16 13:05:23"
49,"Bajaj Finserv Asset Management Limited","Bajaj Finserv Asset Management Limited",1,1,Raksha.Belchad@cogencis.com,"2023-06-30 10:35:02",NULL,NULL
50,"Helios Capital Asset Management  (India) Private Limited","Helios Capital Asset Management  (India) Private Limited",1,1,Niranjan.Khandagale@cogencis.com,"2023-10-23 08:53:27",NULL,NULL
51,"Aditya Birla Sun Life Pension Management Limited","Aditya Birla Sun Life Pension Management Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:24:12",Mukesh.Kotian@cogencis.com,"2025-02-27 08:16:09"
52,"Axis Pension Fund Management Limited","Axis Pension Fund Management Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:24:35",Mukesh.Kotian@cogencis.com,"2025-02-27 08:17:18"
53,"HDFC Pension Management Company Limited","HDFC Pension Management Company Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:24:52",Mukesh.Kotian@cogencis.com,"2025-02-27 08:15:58"
54,"ICICI Prudential Pension Fund Management Company Limited","ICICI Prudential Pension Fund Management Company Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:25:09",Mukesh.Kotian@cogencis.com,"2025-02-27 08:15:37"
55,"Kotak Mahindra Pension Fund Limited","Kotak Mahindra Pension Fund Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:25:37",Mukesh.Kotian@cogencis.com,"2025-02-27 08:15:26"
56,"LIC Pension Fund Limited","LIC Pension Fund Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:25:49",Mukesh.Kotian@cogencis.com,"2025-02-27 08:15:15"
58,"SBI Pension Funds Private Limited","SBI Pension Funds Private Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:26:10",Mukesh.Kotian@cogencis.com,"2025-02-27 08:12:57"
59,"Tata Pension Management Private Limited","Tata Pension Management Private Limited ",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:26:20",Mukesh.Kotian@cogencis.com,"2025-02-27 08:16:35"
60,"UTI Pension Fund Limited","UTI Pension Fund Limited",1,1,Pushpak.Vichare@cogencis.com,"2023-11-01 17:26:31",Mukesh.Kotian@cogencis.com,"2025-02-28 11:19:01"
61,"Zerodha Asset Management Private Limited","Zerodha Asset Management Private Limited",1,1,Niranjan.Khandagale@cogencis.com,"2023-11-13 09:39:11",Niranjan.Khandagale@cogencis.com,"2024-01-29 09:29:52"
62,"DSP Pension Fund Managers Private Limited","DSP Pension Fund Managers Private Limited",1,1,Mukesh.Kotian@cogencis.com,"2023-12-30 12:08:02",Mukesh.Kotian@cogencis.com,"2025-02-27 08:17:35"
85,"Old Bridge Asset Management Private Limited ","Old Bridge Asset Management Private Limited ",1,1,Niranjan.Khandagale@cogencis.com,"2024-01-29 09:31:07",Sunil.Shinde@cogencis.com,"2024-04-10 11:30:14"
86,"Angel One Asset Management Company Limited","Angel One Asset Management Company Limited",1,1,Sunil.Shinde@cogencis.com,"2025-02-05 10:46:42",NULL,NULL
87,"Unifi Asset Management Private Limited","Unifi Asset Management Private Limited",1,1,Pranaya.Vibhute@cogencis.com,"2025-02-25 12:15:48",NULL,NULL
88,"Jio BlackRock Asset Management Private Limited","Jio BlackRock Asset Management Private Limited",1,1,Sunil.Shinde@cogencis.com,"2025-06-17 12:24:39",NULL,NULL
89,"Capitalmind Asset Management Private Limited","Capitalmind Asset Management Private Limited",1,1,Pranaya.Vibhute@cogencis.com,"2025-07-09 10:36:39",Sunil.Shinde@cogencis.com,"2025-11-12 17:50:30"
90,"Wealth Company Asset Management Holdings Private Limited","Wealth Company Asset Management Holdings Private Limited",1,1,Pranaya.Vibhute@cogencis.com,"2025-09-22 12:15:34",NULL,NULL
91,"Choice AMC Private Limited","Choice AMC Private Limited",1,1,Sunil.Shinde@cogencis.com,"2025-10-20 12:24:49",NULL,NULL
92,"Abakkus Asset Management Private Limited","Abakkus Asset Management Private Limited",1,1,Pranaya.Vibhute@cogencis.com,"2025-12-05 12:29:29",NULL,NULL
